Daylight temperature [K],Night temperature [K],Heater power [W],Radiator Surface Area [m²],Emmissivity [-],Absorptivity [-]
311.02,302.09,0,9.8,0.115,0.25
311.02,302.09,5,9.8,0.115,0.25
311.02,302.09,10,9.8,0.115,0.25
311.02,302.09,15,9.8,0.115,0.25
311.02,302.09,20,9.8,0.115,0.25
311.02,302.09,25,9.8,0.115,0.25
311.02,302.09,30,9.8,0.115,0.25
311.02,302.09,35,9.8,0.115,0.25
310.62,299.07,0,9.8,0.12,0.25
310.62,299.07,5,9.8,0.12,0.25
310.62,299.07,10,9.8,0.12,0.25
310.62,299.07,15,9.8,0.12,0.25
310.62,299.07,20,9.8,0.12,0.25
310.62,299.07,25,9.8,0.12,0.25
310.62,299.07,30,9.8,0.12,0.25
310.62,299.07,35,9.8,0.12,0.25
310.9,296.21,0,9.6,0.125,0.25
310.9,296.21,5,9.6,0.125,0.25
310.9,296.21,10,9.6,0.125,0.25
310.9,296.21,15,9.6,0.125,0.25
310.9,296.21,20,9.6,0.125,0.25
310.9,296.21,25,9.6,0.125,0.25
310.9,296.21,30,9.6,0.125,0.25
310.9,296.21,35,9.6,0.125,0.25
310.22,296.21,0,9.8,0.125,0.25
310.22,296.21,5,9.8,0.125,0.25
310.22,296.21,10,9.8,0.125,0.25
310.22,296.21,15,9.8,0.125,0.25
310.22,296.21,20,9.8,0.125,0.25
310.22,296.21,25,9.8,0.125,0.25
310.22,296.21,30,9.8,0.125,0.25
310.22,296.21,35,9.8,0.125,0.25
310.5,293.5,0,9.6,0.13,0.25
310.5,293.5,5,9.6,0.13,0.25
310.5,293.5,10,9.6,0.13,0.25
310.5,293.5,15,9.6,0.13,0.25
310.5,293.5,20,9.6,0.13,0.25
310.5,293.5,25,9.6,0.13,0.25
310.5,293.5,30,9.6,0.13,0.25
310.5,293.5,35,9.6,0.13,0.25
309.82,293.5,0,9.8,0.13,0.25
309.82,293.5,5,9.8,0.13,0.25
309.82,293.5,10,9.8,0.13,0.25
309.82,293.5,15,9.8,0.13,0.25
309.82,293.5,20,9.8,0.13,0.25
309.82,293.5,25,9.8,0.13,0.25
309.82,293.5,30,9.8,0.13,0.25
309.82,293.5,35,9.8,0.13,0.25
310.78,290.92,0,9.4,0.135,0.25
310.78,290.92,5,9.4,0.135,0.25
310.78,290.92,10,9.4,0.135,0.25
310.78,290.92,15,9.4,0.135,0.25
310.78,290.92,20,9.4,0.135,0.25
310.78,290.92,25,9.4,0.135,0.25
310.78,290.92,30,9.4,0.135,0.25
310.78,290.92,35,9.4,0.135,0.25
310.1,290.92,0,9.6,0.135,0.25
310.1,290.92,5,9.6,0.135,0.25
310.1,290.92,10,9.6,0.135,0.25
310.1,290.92,15,9.6,0.135,0.25
310.1,290.92,20,9.6,0.135,0.25
310.1,290.92,25,9.6,0.135,0.25
310.1,290.92,30,9.6,0.135,0.25
310.1,290.92,35,9.6,0.135,0.25
309.43,290.92,0,9.8,0.135,0.25
309.43,290.92,5,9.8,0.135,0.25
309.43,290.92,10,9.8,0.135,0.25
309.43,290.92,15,9.8,0.135,0.25
309.43,290.92,20,9.8,0.135,0.25
309.43,290.92,25,9.8,0.135,0.25
309.43,290.92,30,9.8,0.135,0.25
309.43,290.92,35,9.8,0.135,0.25
311.07,288.46,0,9.2,0.14,0.25
311.07,288.46,5,9.2,0.14,0.25
311.07,288.46,10,9.2,0.14,0.25
311.07,288.46,15,9.2,0.14,0.25
311.07,288.46,20,9.2,0.14,0.25
311.07,288.46,25,9.2,0.14,0.25
311.07,288.46,30,9.2,0.14,0.25
311.07,288.46,35,9.2,0.14,0.25
310.38,288.46,0,9.4,0.14,0.25
310.38,288.46,5,9.4,0.14,0.25
310.38,288.46,10,9.4,0.14,0.25
310.38,288.46,15,9.4,0.14,0.25
310.38,288.46,20,9.4,0.14,0.25
310.38,288.46,25,9.4,0.14,0.25
310.38,288.46,30,9.4,0.14,0.25
310.38,288.46,35,9.4,0.14,0.25
309.7,288.46,0,9.6,0.14,0.25
309.7,288.46,5,9.6,0.14,0.25
309.7,288.46,10,9.6,0.14,0.25
309.7,288.46,15,9.6,0.14,0.25
309.7,288.46,20,9.6,0.14,0.25
309.7,288.46,25,9.6,0.14,0.25
309.7,288.46,30,9.6,0.14,0.25
309.7,288.46,35,9.6,0.14,0.25
309.04,288.46,0,9.8,0.14,0.25
309.04,288.46,5,9.8,0.14,0.25
309.04,288.46,10,9.8,0.14,0.25
309.04,288.46,15,9.8,0.14,0.25
309.04,288.46,20,9.8,0.14,0.25
309.04,288.46,25,9.8,0.14,0.25
309.04,288.46,30,9.8,0.14,0.25
309.04,288.46,35,9.8,0.14,0.25
310.66,286.11,0,9.2,0.145,0.25
310.66,286.11,5,9.2,0.145,0.25
310.66,286.11,10,9.2,0.145,0.25
